cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,cand_name,cand_pty_affil,cand_office,tran_id,file_num,memo_cd,memo_text,sub_id
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,12082021,1,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,EF0A99357A8634EF0927,1576034,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,12162021,1,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E79B09274B72E40F1A83,1576034,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,12222021,15,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,ECE084D4C5FB74F9F97C,1576034,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,12292021,1,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,EED3D75C62C334C78B35,1576034,NA,NA,4032420221464159e3
C00391979,A,YE,P2022,202203229495888480,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,63702,NA,NA,07192021,2500,C00541862,H4MO08162,"SMITH, JASON T",REP,H,EB3491,1576137,NA,NA,4032520221464302e3
C00391979,A,YE,P2022,202203229495888480,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,09142021,2500,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,EB3506,1576137,NA,NA,4032520221464302e3
C00391979,A,YE,P2022,202203229495888500,24K,CCM,VICKY HARTZLER FOR SENATE,HARRISONVILLE,MO,64701,NA,NA,09212021,2500,C00464602,S2MO00593,"HARTZLER, VICKY J",REP,S,EB3513,1576137,NA,NA,4032520221464302e3
C00391979,A,YE,P2022,202203229495888500,24K,COM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,NA,NA,10152021,2500,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,EB3525,1576137,NA,NA,4032520221464302e3
C00391979,A,YE,P2022,202203229495888500,24K,COM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,NA,NA,12032021,2500,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,EB5003,1576137,NA,NA,4032520221464302e3
C00749424,A,Q3,G2024,202206159514911400,24A,ORG,CATALYST MEDIA,SANTA MONICA,CA,90405,NA,NA,09222021,3100,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,SE.4423,1602306,NA,NA,4061720221530342e3
C00580068,A,M10,P2022,202203259495908800,24K,CCM,CORI BUSH FOR CONGRESS,SAINT LOUIS,MO,631212911,NA,NA,09272021,5000,C00638767,H8MO01143,"BUSH, CORI",DEM,H,500238814,1576459,NA,NA,4040420221465285600
C00687525,A,YE,P,202202239493672800,24K,CCM,VICKY HARTZLER FOR SENATE,HARRISONVILLE,MO,647010531,NA,NA,12312021,1000,C00464602,S2MO00593,"HARTZLER, VICKY J",REP,S,SB23.I3681,1571503,NA,NA,4022420221453287e3
C00488882,A,YE,P2022,202202239493673150,24K,CCM,BLAINE FOR CONGRESS,SAINT ELIZABETH,MO,650750098,NA,NA,12142021,1000,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,B55EBE6DAA296449BA51,1571560,NA,NA,4030420221459561e3
C00660894,A,YE,P2022,202204149496135260,24K,PAC,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,09232021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,SB23.4717,1582358,NA,NA,4042220221471515600
C00551192,N,M12,P2022,2.0211207946981318e+17,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11082021,500,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,46834154,1550912,NA,CONTRIBUTION,4120920211384178700
C00461129,N,M12,P2022,202112079469811330,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,NA,NA,11092021,2500,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,11151954,1550824,NA,NA,4120820211384144e3
C00166348,N,M11,P2022,202111129468488300,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,63702,NA,NA,10222021,2000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,SB23.29429,1547966,NA,NA,4111320211378354700
C00016683,N,M11,P2022,202111169468501540,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,637021324,NA,NA,10212021,1000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,08E0A5647E37F46EE4E,1548335,NA,NA,4111720211378641e3
C00451518,N,M11,P2022,202111169468501700,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,NA,NA,10262021,1000,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,SB23.4358,1548347,NA,NA,4111720211378641e3
C00040394,N,M12,P2022,202112139469835140,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11102021,2500,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,627D6DB6028CDB97FFB,1551426,NA,NA,4121420211385965600
C00038604,A,M10,P2022,202112139469840700,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,630220050,NA,NA,09282021,2000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,B7CDC1EABFA05405BAE0,1551451,NA,NA,412152021138601e4
C00038604,A,M10,P2022,202112139469840700,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,630220050,NA,NA,09022021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,BCF74AD99EF3B4D75BB6,1551451,NA,NA,412152021138601e4
C00038604,A,M11,P2022,202112139469841100,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,630220050,NA,NA,10142021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,B27CF505C1BA54BCB824,1551460,NA,NA,412152021138601e4
C00002469,A,M12,P2022,202112139469841400,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,NA,NA,11162021,5000,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,26200614,1551462,NA,2022 PRIMARY ELECTION,412152021138601e4
C00544817,N,M12,P2022,202112139469841700,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11022021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,06EAB93A9ACD5E0706E,1551476,NA,NA,4121420211385965600
C00113811,N,YE,P2022,202201059474876e3,24K,CCM,ANN WAGNER FOR CONGRESS,WASHINGTON,DC,200033302,NA,NA,12212021,2500,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,B27C9AEFE3B8B4ABB881,1554355,NA,NA,4010620221388241e3
C00121319,N,YE,P2022,2.0220105947487642e+17,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,12092021,2500,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,BF70889D453254F89AE5,1554384,NA,NA,4010720221388269600
C00204099,N,M12,P2022,202112149469859780,24K,CCM,ANN WAGNER FOR CONGRESS,WASHINGTON,DC,20003,NA,NA,11032021,5000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,B801016,1551691,NA,NA,4121520211386012e3
C00076810,N,M11,P2022,202111209468824600,24K,CCM,BLAINE FOR CONGRESS,SAINT ELIZABETH,MO,65075,NA,NA,10272021,5000,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,CD01B789603C61FC84D,1549666,NA,NA,4112320211379148e3
C00437566,N,M12,P2022,202112149469860450,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,641082642,NA,NA,11172021,1000,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,C91D3ECB448577B4975,1551718,NA,NA,4121620211386076e3
C00010421,N,M12,P2022,202112149469860500,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,637021324,NA,NA,11172021,2500,C00541862,H4MO08162,"SMITH, JASON T",REP,H,F91110BA9BD92A813FF,1551721,NA,NA,4121620211386076e3
C00551192,N,YE,P2022,202201059474876670,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,NA,NA,12152021,2000,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,46970989,1554421,NA,CONTRIBUTION,4010720221388269600
C00748582,N,M11,P2022,202111209468825630,24A,ORG,BLUE WAVE COMMUNICATIONS LLC,CHICAGO,IL,60622,NA,NA,10242021,5000,S2MO00585,S2MO00585,"MCCLOSKEY, MARK T",REP,S,SE.150947,1549680,NA,NA,4112720211379968e3
C00109546,N,M12,P2022,202112179469880260,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,641082642,NA,NA,11232021,2500,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,89B36937ACD50199579,1552081,NA,NA,4121820211386185700
C00105981,N,M12,G2022,202112179469880580,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11092021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,18745583,1552097,NA,NA,4121820211386186e3
C00193177,N,M12,P2022,202112159469864900,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,630220050,NA,NA,11012021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,B8EC5473620C54F48885,1551806,NA,NA,4121620211386077e3
C00325332,N,M12,P2022,202112159469865470,24K,CCM,CLEAVER FOR CONGRESS,WASHINGTON,DC,20003,NA,NA,11152021,1000,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,84905477,1551822,NA,NA,4121620211386077e3
C00488882,N,M11,P2022,202111059468420130,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,641122551,NA,NA,10282021,1500,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,B360A7E7F85114213BB0,1547304,NA,NA,4110920211378147300
C00040659,N,M12,P2022,202112179469886080,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11292021,2000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,A5C369C9DF7A298CAA4,1552185,NA,NA,4122320211386556400
C00040659,N,M12,P2022,202112179469886080,24K,CCM,BLAINE FOR CONGRESS,SAINT ELIZABETH,MO,65075,NA,NA,11292021,3000,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,42552C132183D458781,1552185,NA,NA,4122320211386556400
C00301358,N,Q3,P,202110150300388030,24K,NA,GRAVES FOR CONGRESS,NA,NA,NA,NA,NA,07132021,2500,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,SB11182180401,1548844,NA,NA,2111920211378833e3
C00301358,N,Q3,P,202110150300388030,24K,NA,CLEVER FOR CONGRESS,NA,NA,NA,NA,NA,08122021,2500,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,SB11182180402,1548844,NA,NA,2111920211378833e3
C00303339,N,M11,P2022,202111199468798850,24K,CCM,BLAINE FOR CONGRESS,SAINT ELIZABETH,MO,65075,NA,NA,10152021,1500,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,5152535DDD22EF5FF2C,1549652,NA,NA,4112320211379148300
C00262295,N,M12,P2022,202112219474721630,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,641082642,NA,NA,11302021,1000,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,7C516E44E9569461A16,1553125,NA,NA,4122820211386740700
C00143867,A,Q2,G2022,202112229474722700,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,06092021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,SB23.4939,1553203,NA,NA,4122920211386922e3
C00143867,A,Q3,P2022,202112229474722900,24K,CAN,"LUETKEMEYER, W BLAINE BLAINE",ST ELIZABETH,MO,65075,NA,NA,09212021,1000,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,SB23.4999,1553207,NA,NA,4122920211386923500
C00489799,A,M7,G2020,202111189468580860,24E,ORG,ANALYTICS NINJA,LINCOLN,NE,685025223,NA,NA,06112021,8,H4MO05234,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,VV0P99HJ309,1548891,NA,NA,4112220211379046e3
C00489799,A,M7,G2020,202111189468580960,24A,ORG,ANALYTICS NINJA,LINCOLN,NE,685025223,NA,NA,06112021,8,H2MO02102,H2MO02102,"WAGNER, ANN L.",REP,H,VV0P99HJ936,1548891,NA,NA,4112220211379046400
C00358663,N,M11,P2022,202111189468581060,24K,CCM,BLAINE FOR CONGRESS,SAINT ELIZABETH,MO,65075,NA,NA,10122021,2500,C00458679,H8MO09153,"LUETKEMEYER, W BLAINE",REP,H,F315C48327A64A6FB96,1548894,NA,NA,4111920211378821e3
C00034355,N,M11,G2021,202111189468581150,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,64108,NA,NA,10042021,1500,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,SB23.16812,1548899,NA,NA,4111920211378821e3
C00211318,N,M11,P2022,2.0211118946858118e+17,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,10142021,-3000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,C54B24F20D335B45D49,1548901,NA,NA,4111920211378821e3
C00279455,N,M12,G2022,202112179469894980,24K,CCM,JASON SMITH FOR CONGRESS,WASHINGTON,DC,200034034,NA,NA,11302021,2000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,B217A657A25F14C77B8F,1552237,NA,NA,4121820211386187e3
C00281162,N,M12,P2022,202112179469897150,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,NA,NA,11012021,1500,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,1249189F02E6FF595DE,1552258,NA,NA,4122120211386317300
C00017525,A,M7,P2022,202111179468563520,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,637021324,NA,NA,06172021,1000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,B5AA8E72FEE5E42E8950,1548554,NA,NA,4111820211378699300
C00496307,N,M11,P2022,202111189468575400,24K,CCM,JASON SMITH FOR CONGRESS,WASHINGTON,DC,637021324,NA,NA,10212021,5000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,BFE3C5E6834BC48919BB,1548828,NA,NA,4111920211378816e3
C00678813,N,M12,P2022,202112179469900670,24K,CCM,VICKY HARTZLER FOR SENATE,HARRISONVILLE,MO,64701,NA,NA,11232021,1000,C00464602,S2MO00593,"HARTZLER, VICKY J",REP,S,SB23.4530,1552295,NA,NA,4122120211386314e3
C00007880,N,M12,P2022,202112179469904830,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11042021,2500,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,5069299,1552335,NA,NA,4122120211386315e3
C00319723,N,M12,P2022,2.0211217946990998e+17,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,NA,NA,11012021,1000,C00495846,H2MO02102,"WAGNER, ANN L.",REP,H,SB23.10359,1552354,NA,NA,4122420211386665500
C00177972,N,M11,P2022,202111179468565250,24K,COM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,63702,NA,NA,10292021,1000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,EXPB2034,1548606,NA,NA,4111820211378700300
C00410589,A,Q3,P2022,202111179468566050,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64112,NA,NA,09072021,2500,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,B5858E3DFA1224B2AA9E,1548642,NA,NA,4111920211378815e3
C00354290,N,M11,P2022,202111189468597250,24K,CCM,CLEAVER FOR CONGRESS,WASHINGTON,DC,200034007,NA,NA,10182021,2000,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,BBC238C08620C465EA04,1548981,NA,NA,4111920211378823700
C00386029,A,M10,P2022,2.0211217946990122e+17,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,64108,NA,NA,09032021,5000,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,EXPB47451,1552300,NA,NA,4.1219202113862083e+18
C00432260,A,M11,P2022,202112179469901700,24E,ORG,BIG EYE DIRECT,OAK HILL,VA,20171,NA,NA,10082021,14628,H2MO07143,H2MO07143,"BURLISON, ERIC",REP,H,SE.15228,1552301,NA,NA,4122120211386311700
C00432260,A,M11,P2022,202112179469901700,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,10062021,50,H2MO07143,H2MO07143,"BURLISON, ERIC",REP,H,SE.15235,1552301,NA,NA,4122120211386311700
C00432260,A,M11,P2022,202112179469901700,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,10082021,1327,H2MO07143,H2MO07143,"BURLISON, ERIC",REP,H,SE.15236,1552301,NA,NA,4122120211386311700
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,25,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15749,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,25,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15750,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,25,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15751,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,25,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15752,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,25,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15753,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,30,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15754,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,35,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15755,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,40,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15756,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15726,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15727,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15728,1552301,NA,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15729,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15730,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15731,1552301,X,NA,4122120211386314e3
C00432260,A,M11,P2022,202112179469901540,24K,CCM,ERIC BURLISON FOR CONGRESS,SPRINGFIELD,MO,65804,NA,NA,10262021,20,C00788414,H2MO07143,"BURLISON, ERIC",REP,H,SB23.15732,1552301,X,NA,4122120211386314e3
